id,value,name,team,pos,inj,g,m_g,p_g,th_g,r_g,a_g,s_g,b_g,fgp,fga_g,ftp,fta_g,to_g,season
1,0.846672232094793,Nikola Jokic,DEN,C,,69,33.6676328502416,24.4927536231884,0.826086956521739,11.8405797101449,9.82608695652174,1.26086956521739,0.681159420289855,0.632093933463796,14.8115942028986,0.821686746987952,6.01449275362319,3.57971014492754,23
2,0.830444328145913,Joel Embiid,PHI,PF/C,,66,34.6083333333333,33.0757575757576,1,10.1515151515152,4.15151515151515,1,1.6969696969697,0.548192771084337,20.1212121212121,0.857328145265888,11.6818181818182,3.42424242424242,23
3,0.754201754241847,Shai Gilgeous-Alexander,OKC,PG/SG,,68,35.5299019607843,31.3970588235294,0.852941176470588,4.83823529411765,5.45588235294118,1.64705882352941,0.955882352941177,0.509775524981897,20.3088235294118,0.905277401894452,10.8676470588235,2.82352941176471,23
4,0.708996485245164,Anthony Davis,LAL,PF/C,,56,34.008630952381,25.9107142857143,0.339285714285714,12.5357142857143,2.64285714285714,1.05357142857143,2.03571428571429,0.563409563409563,17.1785714285714,0.783783783783784,7.92857142857143,2.17857142857143,23
5,0.683828254581149,Kevin Durant,PHO,SF/PF,,47,35.5684397163121,29.063829787234,1.97872340425532,6.65957446808511,5,0.723404255319149,1.42553191489362,0.560324825986079,18.3404255319149,0.919161676646707,7.1063829787234,3.31914893617021,23
6,0.599991598916441,Stephen Curry,GSW,PG,,56,34.6639880952381,29.4285714285714,4.875,6.08928571428571,6.28571428571429,0.928571428571429,0.357142857142857,0.493380406001765,20.2321428571429,0.914590747330961,5.01785714285714,3.19642857142857,23
7,0.583847908793818,Damian Lillard,POR,PG,,58,36.3204022988506,32.1724137931034,4.20689655172414,4.77586206896552,7.32758620689655,0.862068965517241,0.310344827586207,0.462562396006656,20.7241379310345,0.913978494623656,9.62068965517241,3.29310344827586,23
8,0.565008068482237,Tyrese Haliburton,IND,PG/SG,,56,33.6247023809524,20.7142857142857,2.875,3.66071428571429,10.4464285714286,1.625,0.446428571428571,0.489892984542212,15.0178571428571,0.870646766169154,3.58928571428571,2.51785714285714,23
9,0.550476355763576,Kyrie Irving,DAL,PG/SG,,60,37.3408333333333,27.05,3.13333333333333,5.06666666666667,5.51666666666667,1.1,0.75,0.493765586034913,20.05,0.904761904761905,4.55,2.13333333333333,23
10,0.540989228723112,Jimmy Butler,MIA,SF/PF,,64,33.4083333333333,22.90625,0.5625,5.859375,5.3125,1.828125,0.328125,0.539414414414414,13.875,0.85045045045045,8.671875,1.578125,23
11,0.514611423334045,Jayson Tatum,BOS,SF/PF,,74,36.9220720720721,30.0675675675676,3.24324324324324,8.77027027027027,4.62162162162162,1.05405405405405,0.689189189189189,0.466324567030148,21.0675675675676,0.853697749196141,8.40540540540541,2.87837837837838,23
12,0.493345608645846,Jaren Jackson Jr.,MEM,PF/C,,63,28.3724867724868,18.6190476190476,1.58730158730159,6.76190476190476,0.952380952380952,1.03174603174603,3,0.506082725060827,13.047619047619,0.787581699346405,4.85714285714286,1.6984126984127,23
13,0.488234989337715,Kawhi Leonard,LAC,SG/SF,,52,33.6080128205128,23.8269230769231,2,6.5,3.92307692307692,1.38461538461538,0.538461538461538,0.512055109070034,16.75,0.870967741935484,5.36538461538461,1.69230769230769,23
14,0.46782654413251,Kristaps Porzingis,WAS,PF/C,,65,32.6084615384615,23.1538461538462,2.10769230769231,8.4,2.67692307692308,0.892307692307692,1.53846153846154,0.49803536345776,15.6615384615385,0.850961538461538,6.4,2.10769230769231,23
15,0.42915781401721,Donovan Mitchell,CLE,PG/SG,,68,35.7691176470588,28.2647058823529,3.60294117647059,4.25,4.42647058823529,1.45588235294118,0.397058823529412,0.484308131241084,20.6176470588235,0.866847826086957,5.41176470588235,2.64705882352941,23
16,0.407634216498879,Luka Doncic,DAL,PG/SG,,66,36.2199494949495,32.3939393939394,2.8030303030303,8.62121212121212,8.01515151515152,1.36363636363636,0.5,0.496204278812974,21.9545454545455,0.742074927953891,10.5151515151515,3.57575757575758,23
17,0.400140347698651,James Harden,PHI,PG/SG,,58,36.8103448275862,20.9655172413793,2.77586206896552,6.10344827586207,10.6551724137931,1.22413793103448,0.53448275862069,0.44061757719715,14.5172413793103,0.867036011080332,6.22413793103448,3.36206896551724,23
18,0.352967062750854,Fred VanVleet,TOR,PG,,69,36.7388888888889,19.3478260869565,3,4.05797101449275,7.17391304347826,1.78260869565217,0.550724637681159,0.392985611510791,16.1159420289855,0.897526501766785,4.10144927536232,2.02898550724638,23
19,0.349381126700923,Lauri Markkanen,UTA,SF/PF,,66,34.4328282828283,25.6212121212121,3.03030303030303,8.63636363636364,1.86363636363636,0.636363636363636,0.575757575757576,0.498689956331878,17.3484848484848,0.87468671679198,6.04545454545455,1.92424242424242,23
20,0.301290074570008,Myles Turner,IND,C,,62,29.4381720430108,17.9516129032258,1.5,7.51612903225806,1.43548387096774,0.580645161290323,2.25806451612903,0.548431105047749,11.8225806451613,0.782608695652174,4.45161290322581,1.66129032258065,23
21,0.285495074580325,Domantas Sabonis,SAC,PF/C,,79,34.6289029535865,19.1139240506329,0.392405063291139,12.3164556962025,7.25316455696202,0.822784810126582,0.493670886075949,0.615138592750533,11.873417721519,0.742009132420091,5.54430379746835,2.91139240506329,23
22,0.274105458129203,Brook Lopez,MIL,C,,78,30.4166666666667,15.8846153846154,1.74358974358974,6.66666666666667,1.26923076923077,0.474358974358974,2.47435897435897,0.530589543937709,11.525641025641,0.784210526315789,2.43589743589744,1.37179487179487,23
