team, conference, division
ATL,E,SE
BOS,E,ATL
BKN,E,ATL
CHA,E,SE
CHI,E,CEN
CLE,E,CEN
DAL,W,SW
DEN,W,NW
DET,E,CEN
GSW,W,PAC
HOU,W,SW
IND,E,CEN
LAC,W,PAC
LAL,W,PAC
MEM,W,SW
MIA,E,SE
MIL,E,CEN
MIN,W,NW
NOR,W,SW
NYK,E,ATL
OKC,W,NW
ORL,E,SE
PHI,E,ATL
PHO,W,PAC
POR,W,NW
SAC,W,PAC
SAS,W,SW
TOR,E,ATL
UTA,W,NW
WAS,E,SE
